sno,count,RMSE,MAE,R2
500119079,8746,0.287212979,0.028068347,0.997813441
500104128,8720,0.287180788,0.029905674,0.99579668
500112113,8687,0.286701421,0.02860584,0.996850814
500109001,8645,0.286191677,0.021605552,0.998207061
500108043,8636,0.285975657,0.018153866,0.995213891
500104112,8663,0.285821038,0.027018085,0.999003841
500109054,8677,0.285370892,0.026515514,0.998730967
500108005,8722,0.285340495,0.03152574,0.999272263
500111081,8606,0.284942355,0.018616469,0.998277998
500108024,8614,0.284642808,0.014654961,0.997086696
500101009,8743,0.284641782,0.031381829,0.995193027
500112042,8680,0.284403764,0.024940203,0.997062969
500101120,8698,0.284236555,0.031016709,0.999084919
500107044,8671,0.284169456,0.02696789,0.99578702
500111073,8678,0.283833633,0.025238178,0.995377561
500112087,8642,0.283634274,0.021837491,0.997851048
500107006,8672,0.283382483,0.025120124,0.992437718
500104027,8642,0.282766875,0.025328955,0.998154275
500101103,8681,0.282730694,0.026695465,0.998778864
500106095,8708,0.282608661,0.030285628,0.997092023
500101158,8715,0.282579603,0.025997181,0.997828201
500112044,8690,0.28247888,0.029004622,0.998070603
500109024,8651,0.282449521,0.023554271,0.998238255
500106110,8770,0.282365199,0.03552176,0.998339019
500107126,8744,0.282151815,0.034107121,0.998424554
500110077,8702,0.281866168,0.026329226,0.998122597
500119064,8698,0.281663235,0.026280869,0.998541952
500110063,8703,0.28152175,0.029703233,0.998599547
500108159,8674,0.281214388,0.024934709,0.996442178
500108001,8653,0.281166359,0.022263724,0.999118581
500106098,8716,0.280955692,0.029239472,0.996335926
500111041,8648,0.280682313,0.022619681,0.997131512
500113063,8679,0.28067972,0.024015574,0.997807879
500111079,8727,0.280216397,0.02964184,0.998360844
500111056,8646,0.280167772,0.017432339,0.998502574
500110068,8632,0.279976652,0.023495827,0.996988534
500101246,8720,0.279826889,0.028425076,0.997984933
500105053,8618,0.27975496,0.014889807,0.997533784
500106023,8688,0.279485304,0.022242307,0.993763539
500101242,8678,0.279060861,0.026124863,0.995512152
500101148,8710,0.278958622,0.031603155,0.9991382
500113047,8682,0.278920239,0.02466467,0.997200227
500112097,8742,0.278898208,0.031602074,0.997586199
500107033,8749,0.278644344,0.033796989,0.995962059
500107089,8754,0.278503963,0.032851894,0.997896438
500113058,8648,0.278399496,0.020235681,0.997687032
500101235,8708,0.278397493,0.026611672,0.995293183
500109042,8632,0.278119397,0.01861467,0.99474846
